cityId	cityName	latitude	longitude	population	countryCode	continent
174875	Kapan	39.20755	46.40576	33160	AM	Asia/Yerevan
174895	Goris	39.51111	46.34168	20379	AM	Asia/Yerevan
174972	Hats’avan	39.46405	45.97047	15208	AM	Asia/Yerevan
174979	Artashat	39.96144	44.54447	20562	AM	Asia/Yerevan
174991	Ararat	39.83069	44.70569	28832	AM	Asia/Yerevan
616052	Yerevan	40.18111	44.51361	1093485	AM	Asia/Yerevan
616062	Vagharshapat	40.16557	44.29462	46540	AM	Asia/Yerevan
616194	Step’anavan	41.00995	44.38531	23782	AM	Asia/Yerevan
616199	Spitak	40.83221	44.26731	15059	AM	Asia/Yerevan
616250	Sevan	40.5473	44.94171	17083	AM	Asia/Yerevan
616435	Masis	40.06542	44.41618	18911	AM	Asia/Yerevan
616530	Vanadzor	40.80456	44.4939	101098	AM	Asia/Yerevan
616599	Gavarr	40.35398	45.12386	21680	AM	Asia/Yerevan
616629	Hrazdan	40.49748	44.7662	40795	AM	Asia/Yerevan
616631	Armavir	40.15446	44.03815	25963	AM	Asia/Yerevan
616635	Gyumri	40.7942	43.84528	148381	AM	Asia/Yerevan
616877	Ashtarak	40.2991	44.36204	18779	AM	Asia/Yerevan
617026	Abovyan	40.27368	44.63348	35673	AM	Asia/Yerevan
145531	Saurimo	-9.66078	20.39155	40498	AO	Africa/Luanda
145724	Lucapa	-8.41915	20.74466	20115	AO	Africa/Luanda
876177	Luau	-10.70727	22.22466	18465	AO	Africa/Luanda
2236568	Uíge	-7.60874	15.06131	60008	AO	Africa/Luanda
2236967	Soio	-6.1349	12.36894	67491	AO	Africa/Luanda
2239001	N'zeto	-7.23116	12.8666	18352	AO	Africa/Luanda
2239076	N’dalatando	-9.29782	14.91162	383100	AO	Africa/Luanda
2239520	Mbanza Congo	-6.26703	14.2401	24220	AO	Africa/Luanda
2239862	Malanje	-9.54015	16.34096	87046	AO	Africa/Luanda
2240449	Luanda	-8.83682	13.23432	2776168	AO	Africa/Luanda
2242001	Caxito	-8.57848	13.66425	28224	AO	Africa/Luanda
2243271	Cabinda	-5.55	12.2	66020	AO	Africa/Luanda
3346015	Sumbe	-11.20605	13.84371	33277	AO	Africa/Luanda
3347019	Namibe	-15.19611	12.15222	80149	AO	Africa/Luanda
3347353	Menongue	-14.6585	17.69099	32203	AO	Africa/Luanda
3347719	Luena	-11.78333	19.91667	21115	AO	Africa/Luanda
3347762	Lubango	-14.91717	13.4925	102541	AO	Africa/Luanda
3347853	Longonjo	-12.90667	15.25333	24346	AO	Africa/Luanda
3347939	Lobito	-12.3644	13.53601	207932	AO	Africa/Luanda
3348078	Cuito	-12.38333	16.93333	113624	AO	Africa/Luanda
3348313	Huambo	-12.77611	15.73917	226145	AO	Africa/Luanda
3350246	Catumbela	-12.43002	13.54677	16977	AO	Africa/Luanda
3350372	Catabola	-12.15	17.28333	18855	AO	Africa/Luanda
3351014	Camacupa	-12.01667	17.48333	19150	AO	Africa/Luanda
3351500	Caála	-12.8525	15.56056	21205	AO	Africa/Luanda
3351663	Benguela	-12.57626	13.40547	151226	AO	Africa/Luanda
3427213	Zárate	-34.09814	-59.02858	88781	AR	America/Argentina/Buenos_Aires
3427327	Wanda	-25.96879	-54.56285	15529	AR	America/Argentina/Cordoba
3427387	Villa Ortúzar	-34.57973	-58.46829	22500	AR	America/Argentina/Buenos_Aires
3427388	Villa Ocampo	-28.48752	-59.35515	19101	AR	America/Argentina/Cordoba
3427408	Villa Lugano	-34.67907	-58.47263	114000	AR	America/Argentina/Buenos_Aires
3427428	Villaguay	-31.8653	-59.02689	32027	AR	America/Argentina/Cordoba
3427431	Villa Gesell	-37.26394	-56.97304	23257	AR	America/Argentina/Buenos_Aires
3427761	Tigre	-34.42603	-58.57962	31106	AR	America/Argentina/Buenos_Aires
3427833	Tandil	-37.32167	-59.13316	104325	AR	America/Argentina/Buenos_Aires
3428068	San Vicente	-26.61667	-54.13333	38247	AR	America/Argentina/Cordoba
3428071	Santo Tomé	-28.54939	-56.04077	22634	AR	America/Argentina/Cordoba
3428359	Santa Elena	-30.94432	-59.78832	18410	AR	America/Argentina/Cordoba
3428576	San Pedro	-33.67918	-59.66633	47452	AR	America/Argentina/Buenos_Aires
3428577	San Pedro	-26.62207	-54.10842	23736	AR	America/Argentina/Cordoba
3428708	San Luis del Palmar	-27.5079	-58.55454	15347	AR	America/Argentina/Cordoba
3428759	San Lorenzo	-28.13306	-58.76733	47626	AR	America/Argentina/Cordoba
3428975	San Javier	-30.57781	-59.9317	15606	AR	America/Argentina/Cordoba
3428992	San Isidro	-34.4721	-58.52708	45190	AR	America/Argentina/Buenos_Aires
3429403	Saladas	-28.25384	-58.62591	18349	AR	America/Argentina/Cordoba
3429576	Retiro	-34.58333	-58.38333	38635	AR	America/Argentina/Buenos_Aires
3429577	Resistencia	-27.46056	-58.98389	387158	AR	America/Argentina/Cordoba
3429594	Reconquista	-29.15	-59.65	90184	AR	America/Argentina/Cordoba
3429652	Quilmes	-34.72904	-58.26374	230000	AR	America/Argentina/Buenos_Aires
3429732	Puerto Rico	-26.79598	-55.02402	17491	AR	America/Argentina/Cordoba
3429777	Puerto Iguazú	-25.59912	-54.57355	32038	AR	America/Argentina/Cordoba
3429786	Puerto Esperanza	-26.02267	-54.61356	15579	AR	America/Argentina/Cordoba
3429790	Puerto Eldorado	-26.40843	-54.69463	54189	AR	America/Argentina/Cordoba
3429886	Posadas	-27.36708	-55.89608	323739	AR	America/Argentina/Cordoba
3429902	Pontevedra	-34.74785	-58.70072	33515	AR	America/Argentina/Buenos_Aires
3429949	Pirané	-25.73239	-59.10879	19124	AR	America/Argentina/Cordoba
3429980	Pilar	-34.45866	-58.9142	226517	AR	America/Argentina/Buenos_Aires
3430104	Paso de los Libres	-29.71251	-57.08771	43805	AR	America/Argentina/Cordoba
3430340	Oberá	-27.48706	-55.11994	56528	AR	America/Argentina/Cordoba
3430443	Necochea	-38.5545	-58.73961	80478	AR	America/Argentina/Buenos_Aires
3430545	Morón	-34.6509	-58.61956	319934	AR	America/Argentina/Buenos_Aires
3430598	Monte Caseros	-30.25359	-57.63626	24671	AR	America/Argentina/Cordoba
3430601	Montecarlo	-26.5662	-54.757	22229	AR	America/Argentina/Cordoba
3430708	Mercedes	-34.65145	-59.43068	52949	AR	America/Argentina/Buenos_Aires
3430709	Mercedes	-29.18416	-58.07519	30649	AR	America/Argentina/Cordoba
3430863	Mar del Plata	-38.00042	-57.5562	553935	AR	America/Argentina/Buenos_Aires
3430988	Luján	-34.57028	-59.105	81749	AR	America/Argentina/Buenos_Aires
3432043	La Plata	-34.92145	-57.95453	694167	AR	America/Argentina/Buenos_Aires
3432079	La Paz	-30.74179	-59.64517	24716	AR	America/Argentina/Cordoba
3433349	Jardín América	-27.04346	-55.22698	24905	AR	America/Argentina/Cordoba
3433658	Gualeguaychú	-33.00937	-58.51722	78676	AR	America/Argentina/Cordoba
3433663	Gualeguay	-33.14156	-59.30966	33120	AR	America/Argentina/Cordoba
3433715	Goya	-29.13995	-59.26343	70245	AR	America/Argentina/Cordoba
3433753	Gobernador Virasora	-28.05	-56.03333	28756	AR	America/Argentina/Cordoba
3433803	General José de San Martín	-26.53743	-59.34158	31758	AR	America/Argentina/Cordoba
3433836	Garupá	-27.48171	-55.82921	28814	AR	America/Argentina/Cordoba
3433899	Formosa	-26.18489	-58.17313	221383	AR	America/Argentina/Cordoba
3433901	Fontana	-27.41813	-59.02392	26745	AR	America/Argentina/Cordoba
3433956	Federal	-30.95465	-58.78326	16333	AR	America/Argentina/Cordoba
3434095	Esquina	-30.01476	-59.5289	26399	AR	America/Argentina/Cordoba
3434291	El Soberbio	-27.29847	-54.19877	19571	AR	America/Argentina/Cordoba
3435038	Dolores	-36.31321	-57.67918	25190	AR	America/Argentina/Buenos_Aires
3435103	Curuzú Cuatiá	-29.79171	-58.0546	36390	AR	America/Argentina/Cordoba
3435217	Corrientes	-27.46784	-58.8344	339067	AR	America/Argentina/Cordoba
3435261	Concordia	-31.39296	-58.02089	145210	AR	America/Argentina/Cordoba
3435264	Concepción del Uruguay	-32.48463	-58.23217	67895	AR	America/Argentina/Cordoba
3435356	Colegiales	-34.57365	-58.44924	57000	AR	America/Argentina/Buenos_Aires
3435486	Chajarí	-30.75048	-57.97962	30655	AR	America/Argentina/Cordoba
3435810	Campana	-34.16327	-58.95919	81612	AR	America/Argentina/Buenos_Aires
3435910	Buenos Aires	-34.61315	-58.37723	13076300	AR	America/Argentina/Buenos_Aires
3436003	Boedo	-34.63333	-58.41667	48231	AR	America/Argentina/Buenos_Aires
3436043	Berazategui	-34.76531	-58.21278	167498	AR	America/Argentina/Buenos_Aires
3436077	Belgrano	-34.5627	-58.45829	138942	AR	America/Argentina/Buenos_Aires
3436124	Barranqueras	-27.48132	-58.93925	50823	AR	America/Argentina/Cordoba
3436134	Barracas	-34.64966	-58.38341	77474	AR	America/Argentina/Buenos_Aires
3436199	Azul	-36.77698	-59.85854	53941	AR	America/Argentina/Buenos_Aires
3436230	Avellaneda	-29.11761	-59.65834	23077	AR	America/Argentina/Cordoba
3436287	Aristóbulo del Valle	-27.09625	-54.89626	20683	AR	America/Argentina/Cordoba
3832132	Zapala	-38.89916	-70.05442	31534	AR	America/Argentina/Salta
3832260	Yerba Buena	-26.81667	-65.31667	50783	AR	America/Argentina/Tucuman
3832647	Villa Regina	-39.1	-67.06667	31209	AR	America/Argentina/Salta
3832653	Villa Paula de Sarmiento	-31.4933	-68.53838	19092	AR	America/Argentina/San_Juan
3832662	Villa Nueva	-32.43293	-63.24763	16841	AR	America/Argentina/Cordoba
3832694	Villa María	-32.40751	-63.24016	92453	AR	America/Argentina/Cordoba
3832756	Villa Dolores	-31.94585	-65.18958	28009	AR	America/Argentina/Cordoba
3832778	Villa Constitución	-33.22778	-60.3297	44271	AR	America/Argentina/Cordoba
3832791	Villa Carlos Paz	-31.42414	-64.49778	69451	AR	America/Argentina/Cordoba
3832811	Villa Ángela	-27.57383	-60.71526	43511	AR	America/Argentina/Cordoba
3832815	Villa Allende	-31.29458	-64.29538	21683	AR	America/Argentina/Cordoba
3832899	Viedma	-40.81345	-62.99668	48940	AR	America/Argentina/Salta
3832934	Victoria	-32.61841	-60.15478	25139	AR	America/Argentina/Cordoba
3833027	Vera	-29.4593	-60.21261	19797	AR	America/Argentina/Cordoba
3833062	Venado Tuerto	-33.74556	-61.96885	72340	AR	America/Argentina/Cordoba
3833112	Veinticinco de Mayo	-35.4323	-60.17271	24668	AR	America/Argentina/Buenos_Aires
3833367	Ushuaia	-54.81084	-68.31591	58028	AR	America/Argentina/Ushuaia
3833412	Unquillo	-31.23073	-64.31615	15369	AR	America/Argentina/Cordoba
3833794	Tres Isletas	-26.34067	-60.43207	24747	AR	America/Argentina/Cordoba
3833859	Tres Arroyos	-38.37394	-60.27978	47136	AR	America/Argentina/Buenos_Aires
3833883	Trelew	-43.24895	-65.30505	93442	AR	America/Argentina/Catamarca
3834502	Termas de Río Hondo	-27.49362	-64.85972	27838	AR	America/Argentina/Cordoba
3834601	Tartagal	-22.51637	-63.80131	60819	AR	America/Argentina/Salta
3834813	Tafí Viejo	-26.73201	-65.25921	48459	AR	America/Argentina/Tucuman
3834971	Sunchales	-30.94404	-61.56148	18757	AR	America/Argentina/Cordoba
3835793	Santo Tomé	-31.66274	-60.7653	59072	AR	America/Argentina/Cordoba
3835869	Santiago del Estero	-27.79511	-64.26149	354692	AR	America/Argentina/Cordoba
3835994	Santa Rosa	-36.61667	-64.28333	111424	AR	America/Argentina/Salta
3836194	Santa Lucía	-31.53987	-68.49503	43565	AR	America/Argentina/San_Juan
3836277	Santa Fe	-31.64881	-60.70868	489505	AR	America/Argentina/Cordoba
3836564	San Salvador de Jujuy	-24.19457	-65.29712	305891	AR	America/Argentina/Jujuy
3836620	San Ramón de la Nueva Orán	-23.13705	-64.32426	74059	AR	America/Argentina/Salta
3836669	San Rafael	-34.61772	-68.33007	109163	AR	America/Argentina/Mendoza
3836772	San Pedro de Jujuy	-24.23127	-64.86614	58430	AR	America/Argentina/Jujuy
3836846	San Nicolás de los Arroyos	-33.33425	-60.2108	127742	AR	America/Argentina/Buenos_Aires
3836873	San Miguel de Tucumán	-26.82414	-65.2226	781023	AR	America/Argentina/Tucuman
3836951	San Martín de los Andes	-40.15789	-71.35337	23519	AR	America/Argentina/Salta
3836992	San Martín	-33.08103	-68.46814	82549	AR	America/Argentina/Mendoza
3837056	San Luis	-33.29501	-66.33563	183982	AR	America/Argentina/San_Luis
3837124	San Justo	-30.78913	-60.59189	21809	AR	America/Argentina/Cordoba
3837213	San Juan	-31.5375	-68.53639	447048	AR	America/Argentina/San_Juan
3837240	San José de Jáchal	-30.24057	-68.74693	21018	AR	America/Argentina/San_Juan
3837441	San Jorge	-31.89618	-61.85984	16873	AR	America/Argentina/Cordoba
3837675	San Francisco	-31.42797	-62.08266	59062	AR	America/Argentina/Cordoba
3837702	San Fernando del Valle de Catamarca	-28.46957	-65.78524	188812	AR	America/Argentina/Catamarca
3837980	San Antonio Oeste	-40.73193	-64.94769	16966	AR	America/Argentina/Salta
3838233	Salta	-24.7859	-65.41166	512686	AR	America/Argentina/Salta
3838506	Rufino	-34.26827	-62.71262	18361	AR	America/Argentina/Cordoba
3838583	Rosario	-32.94682	-60.63932	1173533	AR	America/Argentina/Cordoba
3838793	Río Tercero	-32.17301	-64.11405	53389	AR	America/Argentina/Cordoba
3838797	Río Segundo	-31.6526	-63.9099	18155	AR	America/Argentina/Cordoba
3838854	Río Grande	-53.78769	-67.70946	52681	AR	America/Argentina/Ushuaia
3838859	Río Gallegos	-51.62261	-69.21813	85700	AR	America/Argentina/Rio_Gallegos
3838874	Río Cuarto	-33.13067	-64.34992	153757	AR	America/Argentina/Cordoba
3838902	Río Ceballos	-31.16486	-64.32241	16632	AR	America/Argentina/Cordoba
3839307	Rawson	-43.30016	-65.10228	26335	AR	America/Argentina/Catamarca
3839479	Rafaela	-31.25033	-61.4867	88713	AR	America/Argentina/Cordoba
3839490	Quitilipi	-26.86913	-60.21683	32083	AR	America/Argentina/Cordoba
3839982	Punta Alta	-38.87588	-62.07359	57209	AR	America/Argentina/Buenos_Aires
3840092	Puerto Madryn	-42.7692	-65.03851	64555	AR	America/Argentina/Catamarca
3840300	Presidencia Roque Sáenz Peña	-26.78522	-60.43876	81879	AR	America/Argentina/Cordoba
3840860	Pocito	-31.68333	-68.58333	40969	AR	America/Argentina/San_Juan
3840885	Plottier	-38.96667	-68.23333	25186	AR	America/Argentina/Salta
3841490	Pergamino	-33.88995	-60.57357	87652	AR	America/Argentina/Buenos_Aires
3841500	Pérez	-32.99835	-60.76791	24436	AR	America/Argentina/Cordoba
3841956	Paraná	-31.73271	-60.52897	262295	AR	America/Argentina/Cordoba
3842190	Palpalá	-24.25647	-65.21163	48199	AR	America/Argentina/Jujuy
3842670	Olavarría	-36.89272	-60.32254	86320	AR	America/Argentina/Buenos_Aires
3842881	Nueve de Julio	-35.44437	-60.88313	34718	AR	America/Argentina/Buenos_Aires
3843123	Neuquén	-38.95161	-68.0591	242092	AR	America/Argentina/Salta
3843619	Morteros	-30.71164	-61.99862	15129	AR	America/Argentina/Cordoba
3843803	Monteros	-27.16741	-65.49832	23771	AR	America/Argentina/Tucuman
3844421	Mendoza	-32.89084	-68.82717	876884	AR	America/Argentina/Mendoza
